Number,Name,Size(m),Weight(lb),Weight(kg),PokedexColor,Type1,Type2,Evolution,NormalDamage,FireDamage,WaterDamage,ElectricDamage,GrassDamage,IceDamage,FightingDamage,PoisonDamage,GroundDamage,FlyingDamage,PsychcDamage,BugDamage,RockDamage,GhostDamage,DragonDamage,DarkDamage,SteelDamage,FairyDamage
1,Bulbasaur,0.7,15.2,6.9, Green,Grass,Poison,"[2, 3]",*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
2,Ivysaur,1.0,28.7,13.0, Green,Grass,Poison,[3],*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
3,Venusaur,2.0,220.5,100.0, Green,Grass,Poison,[],*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
4,Charmander,0.6,18.7,8.5, Red,Fire,,"[5, 6]",*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
5,Charmeleon,1.1,41.9,19.0, Red,Fire,,[6],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
6,Charizard,1.7,199.5,90.5, Red,Fire,Flying,[],*1,*0.5,*2,*2,*0.25,*1,*0.5,*1,*0,*1,*1,*0.25,*4,*1,*1,*1,*0.5,*0.5
7,Squirtle,0.5,19.8,9.0, Blue,Water,,"[8, 9]",*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
8,Wartortle,1.0,49.6,22.5, Blue,Water,,[9],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
9,Blastoise,1.6,188.5,85.5, Blue,Water,,[],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
10,Caterpie,0.3,6.4,2.9, Green,Bug,,"[11, 12]",*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
11,Metapod,,,,,Bug,,[12],*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
12,Butterfree,1.1,70.5,32.0, White,Bug,Flying,[],*1,*2,*1,*2,*0.25,*2,*0.25,*1,*0,*2,*1,*0.5,*4,*1,*1,*1,*1,*1
13,Weedle,0.3,7.1,3.2, Brown,Bug,Poison,"[14, 15]",*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
14,Kakuna,,,,,Bug,Poison,[15],*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
15,Beedrill,1.0,65.0,29.5, Yellow,Bug,Poison,[],*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
16,Pidgey,0.3,4.0,1.8, Brown,Normal,Flying,"[17, 18]",*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
17,Pidgeotto,1.1,66.1,30.0, Brown,Normal,Flying,[18],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
18,Pidgeot,1.5,87.1,39.5, Brown,Normal,Flying,[],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
19,Rattata,0.3,7.7,3.5, Purple,Normal,,[20],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
20,Raticate,0.7,40.8,18.5, Brown,Normal,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
21,Spearow,0.3,4.4,2.0, Brown,Normal,Flying,[22],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
22,Fearow,1.2,83.8,38.0, Brown,Normal,Flying,[],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
23,Ekans,2.0,15.2,6.9, Purple,Poison,,[24],*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
24,Arbok,3.5,143.3,65.0, Purple,Poison,,[],*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
25,Pikachu,0.4,13.2,6.0, Yellow,Electric,,"[172, 26]",*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
26,Raichu,0.8,66.1,30.0, Yellow,Electric,,[172],*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
27,Sandshrew,0.6,26.5,12.0, Yellow,Ground,,[28],*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
28,Sandslash,1.0,65.0,29.5, Yellow,Ground,,[],*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
29,Nidoran♀,0.4,15.4,7.0, Blue,Poison,,"[30, 31, 32, 33, 34]",*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
30,Nidorina,0.8,44.1,20.0, Blue,Poison,,"[31, 32, 33, 34]",*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
31,Nidoqueen,1.3,132.3,60.0, Blue,Poison,Ground,"[32, 33, 34]",*1,*1,*2,*0,*1,*2,*0.5,*0.25,*2,*1,*2,*0.5,*0.5,*1,*1,*1,*1,*0.5
32,Nidoran♂,0.5,19.8,9.0, Purple,Poison,,"[33, 34]",*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
33,Nidorino,0.9,43.0,19.5, Purple,Poison,,[34],*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
34,Nidoking,1.4,136.7,62.0, Purple,Poison,Ground,[],*1,*1,*2,*0,*1,*2,*0.5,*0.25,*2,*1,*2,*0.5,*0.5,*1,*1,*1,*1,*0.5
35,Clefairy,0.6,16.5,7.5, Pink,Fairy,,"[173, 36]",*1,*1,*1,*1,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1,*1,*0,*0.5,*2,*1
36,Clefable,1.3,88.2,40.0, Pink,Fairy,,[173],*1,*1,*1,*1,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1,*1,*0,*0.5,*2,*1
37,Vulpix,0.6,21.8,9.9, Brown,Fire,,[38],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
38,Ninetales,1.1,43.9,19.9, Yellow,Fire,,[],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
39,Jigglypuff,0.5,12.1,5.5, Pink,Normal,Fairy,"[174, 40]",*1,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0.5,*1,*0,*0,*0.5,*2,*1
40,Wigglytuff,1.0,26.5,12.0, Pink,Normal,Fairy,[174],*1,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0.5,*1,*0,*0,*0.5,*2,*1
41,Zubat,0.8,16.5,7.5, Purple,Poison,Flying,"[42, 169]",*1,*1,*1,*2,*0.25,*2,*0.25,*0.5,*0,*1,*2,*0.25,*2,*1,*1,*1,*1,*0.5
42,Golbat,1.6,121.3,55.0, Purple,Poison,Flying,[169],*1,*1,*1,*2,*0.25,*2,*0.25,*0.5,*0,*1,*2,*0.25,*2,*1,*1,*1,*1,*0.5
43,Oddish,0.5,11.9,5.4, Blue,Grass,Poison,"[44, 45, 182]",*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
44,Gloom,0.8,19.0,8.6, Blue,Grass,Poison,"[45, 182]",*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
45,Vileplume,1.2,41.0,18.6, Red,Grass,Poison,[182],*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
46,Paras,0.3,11.9,5.4, Red,Bug,Grass,[47],*1,*4,*0.5,*0.5,*0.25,*2,*0.5,*2,*0.25,*4,*1,*2,*2,*1,*1,*1,*1,*1
47,Parasect,1.0,65.0,29.5, Red,Bug,Grass,[],*1,*4,*0.5,*0.5,*0.25,*2,*0.5,*2,*0.25,*4,*1,*2,*2,*1,*1,*1,*1,*1
48,Venonat,1.0,66.1,30.0, Purple,Bug,Poison,[49],*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
49,Venomoth,1.5,27.6,12.5, Purple,Bug,Poison,[],*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
50,Diglett,0.2,1.8,0.8, Brown,Ground,,[51],*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
51,Dugtrio,0.7,73.4,33.3, Brown,Ground,,[],*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
52,Meowth,0.4,9.3,4.2, Yellow,Normal,,"[53, 863]",*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
53,Persian,1.0,70.5,32.0, Yellow,Normal,,[863],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
54,Psyduck,0.8,43.2,19.6, Yellow,Water,,[55],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
55,Golduck,1.7,168.9,76.6, Blue,Water,,[],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
56,Mankey,0.5,61.7,28.0, Brown,Fighting,,[57],*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
57,Primeape,1.0,70.5,32.0, Brown,Fighting,,[],*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
58,Growlithe,0.7,41.9,19.0, Brown,Fire,,[59],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
59,Arcanine,1.9,341.7,155.0, Brown,Fire,,[],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
60,Poliwag,0.6,27.3,12.4, Blue,Water,,"[61, 62, 186]",*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
61,Poliwhirl,1.0,44.1,20.0, Blue,Water,,"[62, 186]",*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
62,Poliwrath,1.3,119.0,54.0, Blue,Water,Fighting,[186],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*0.5,*2
63,Abra,0.9,43.0,19.5, Brown,Psychic,,"[64, 65]",*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
64,Kadabra,1.3,124.6,56.5, Brown,Psychic,,[65],*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
65,Alakazam,1.5,105.8,48.0, Brown,Psychic,,[],*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
66,Machop,0.8,43.0,19.5, Gray,Fighting,,"[67, 68]",*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
67,Machoke,1.5,155.4,70.5, Gray,Fighting,,[68],*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
68,Machamp,1.6,286.6,130.0, Gray,Fighting,,[],*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
69,Bellsprout,0.7,8.8,4.0, Green,Grass,Poison,"[70, 71]",*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
70,Weepinbell,1.0,14.1,6.4, Green,Grass,Poison,[71],*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
71,Victreebel,1.7,34.2,15.5, Green,Grass,Poison,[],*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
72,Tentacool,0.9,100.3,45.5, Blue,Water,Poison,[73],*1,*0.5,*0.5,*2,*1,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*0.5,*0.5
73,Tentacruel,1.6,121.3,55.0, Blue,Water,Poison,[],*1,*0.5,*0.5,*2,*1,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*0.5,*0.5
74,Geodude,0.4,44.1,20.0, Brown,Rock,Ground,"[75, 76]",*0.5,*0.5,*4,*0,*4,*2,*2,*0.25,*2,*0.5,*1,*1,*0.5,*1,*1,*1,*2,*1
75,Graveler,1.0,231.5,105.0, Brown,Rock,Ground,[76],*0.5,*0.5,*4,*0,*4,*2,*2,*0.25,*2,*0.5,*1,*1,*0.5,*1,*1,*1,*2,*1
76,Golem,1.4,661.4,300.0, Brown,Rock,Ground,[],*0.5,*0.5,*4,*0,*4,*2,*2,*0.25,*2,*0.5,*1,*1,*0.5,*1,*1,*1,*2,*1
77,Ponyta,1.0,66.1,30.0, Yellow,Fire,,[78],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
78,Rapidash,1.7,209.4,95.0, Yellow,Fire,,[],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
79,Slowpoke,1.2,79.4,36.0, Pink,Water,Psychic,[],*1,*0.5,*0.5,*2,*2,*0.5,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*0.5,*1
80,Slowbro,1.6,173.1,78.5, Pink,Water,Psychic,[],*1,*0.5,*0.5,*2,*2,*0.5,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*0.5,*1
81,Magnemite,0.3,13.2,6.0, Gray,Electric,Steel,"[82, 462]",*0.5,*2,*1,*0.5,*0.5,*0.5,*2,*0,*4,*0.25,*0.5,*0.5,*0.5,*1,*0.5,*1,*0.25,*0.5
82,Magneton,1.0,132.3,60.0, Gray,Electric,Steel,[462],*0.5,*2,*1,*0.5,*0.5,*0.5,*2,*0,*4,*0.25,*0.5,*0.5,*0.5,*1,*0.5,*1,*0.25,*0.5
83,Farfetch'd,0.8,33.1,15.0, Brown,Normal,Flying,[865],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
84,Doduo,1.4,86.4,39.2, Brown,Normal,Flying,[85],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
85,Dodrio,1.8,187.8,85.2, Brown,Normal,Flying,[],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
86,Seel,1.1,198.4,90.0, White,Water,,[87],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
87,Dewgong,1.7,264.6,120.0, White,Water,Ice,[],*1,*1,*0.5,*2,*2,*0.25,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1
88,Grimer,0.9,66.1,30.0, Purple,Poison,,[89],*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
89,Muk,1.2,66.1,30.0, Purple,Poison,,[],*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
90,Shellder,0.3,8.8,4.0, Purple,Water,,[91],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
91,Cloyster,1.5,292.1,132.5, Purple,Water,Ice,[],*1,*1,*0.5,*2,*2,*0.25,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1
92,Gastly,,,,,Ghost,Poison,"[93, 94]",*0,*1,*1,*1,*0.5,*1,*0,*0.25,*2,*1,*2,*0.25,*1,*2,*1,*2,*1,*0.5
93,Haunter,,,,,Ghost,Poison,[94],*0,*1,*1,*1,*0.5,*1,*0,*0.25,*2,*1,*2,*0.25,*1,*2,*1,*2,*1,*0.5
94,Gengar,1.5,89.3,40.5, Purple,Ghost,Poison,[],*0,*1,*1,*1,*0.5,*1,*0,*0.25,*2,*1,*2,*0.25,*1,*2,*1,*2,*1,*0.5
95,Onix,8.8,463.0,210.0, Gray,Rock,Ground,[208],*0.5,*0.5,*4,*0,*4,*2,*2,*0.25,*2,*0.5,*1,*1,*0.5,*1,*1,*1,*2,*1
96,Drowzee,1.0,71.4,32.4, Yellow,Psychic,,[97],*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
97,Hypno,1.6,166.7,75.6, Yellow,Psychic,,[],*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
98,Krabby,0.4,14.3,6.5, Red,Water,,[99],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
99,Kingler,1.3,132.3,60.0, Red,Water,,[],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
100,Voltorb,0.5,22.9,10.4, Red,Electric,,[101],*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
101,Electrode,1.2,146.8,66.6, Red,Electric,,[],*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
102,Exeggcute,0.4,5.5,2.5, Pink,Grass,Psychic,[103],*1,*2,*0.5,*0.5,*0.5,*2,*0.5,*2,*0.5,*2,*0.5,*4,*1,*2,*1,*2,*1,*1
103,Exeggutor,2.0,264.6,120.0, Yellow,Grass,Psychic,[],*1,*2,*0.5,*0.5,*0.5,*2,*0.5,*2,*0.5,*2,*0.5,*4,*1,*2,*1,*2,*1,*1
104,Cubone,0.4,14.3,6.5, Brown,Ground,,[105],*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
105,Marowak,1.0,99.2,45.0, Brown,Ground,,[],*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
106,Hitmonlee,1.5,109.8,49.8, Brown,Fighting,,"[236, 107, 237]",*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
107,Hitmonchan,1.4,110.7,50.2, Brown,Fighting,,"[236, 237]",*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
108,Lickitung,1.2,144.4,65.5, Pink,Normal,,[463],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
109,Koffing,0.6,2.2,1.0, Purple,Poison,,[110],*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
110,Weezing,1.2,20.9,9.5, Purple,Poison,,[],*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
111,Rhyhorn,1.0,253.5,115.0, Gray,Ground,Rock,"[112, 464]",*0.5,*0.5,*4,*0,*4,*2,*2,*0.25,*2,*0.5,*1,*1,*0.5,*1,*1,*1,*2,*1
112,Rhydon,1.9,264.6,120.0, Gray,Ground,Rock,[464],*0.5,*0.5,*4,*0,*4,*2,*2,*0.25,*2,*0.5,*1,*1,*0.5,*1,*1,*1,*2,*1
114,Tangela,1.0,77.2,35.0, Blue,Grass,,[465],*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
115,Kangaskhan,2.2,176.4,80.0, Brown,Normal,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
116,Horsea,0.4,17.6,8.0, Blue,Water,,"[117, 230]",*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
117,Seadra,1.2,55.1,25.0, Blue,Water,,[230],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
118,Goldeen,0.6,33.1,15.0, Red,Water,,[119],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
119,Seaking,1.3,86.0,39.0, Red,Water,,[],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
120,Staryu,0.8,76.1,34.5, Brown,Water,,[121],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
121,Starmie,1.1,176.4,80.0, Purple,Water,Psychic,[],*1,*0.5,*0.5,*2,*2,*0.5,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*0.5,*1
122,Mr. Mime,1.3,120.2,54.5, Pink,Psychic,Fairy,"[439, 866]",*1,*1,*1,*1,*1,*1,*0.25,*2,*1,*1,*0.5,*1,*1,*2,*0,*1,*2,*1
123,Scyther,1.5,123.5,56.0, Green,Bug,Flying,[212],*1,*2,*1,*2,*0.25,*2,*0.25,*1,*0,*2,*1,*0.5,*4,*1,*1,*1,*1,*1
124,Jynx,1.4,89.5,40.6, Red,Ice,Psychic,[238],*1,*2,*1,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*2,*2,*2,*1,*2,*2,*1
